,r0,r1,r2,r3,g0,g1,g2,g3,b0,b1,b2,b3,total_income_2_b,total_deprivations,Wealth_Index,total_deprivations_2,Poor_MPI,Severely_Poor_MPI,train,truck,car,potted plant,person
1032,78316,186543,522607,134134,87856,195162,510429,128153,102067,403795,582127,140811,337500.0,0.16699999999999998,0.37821168,1,Non_Poor,Non_Severely_Poor,0,0,2,4,14
1033,307757,148017,209359,26067,324456,160995,205744,5,564572,151510,205372,146,30000.0,0.16699999999999998,-0.69585305,1,Non_Poor,Non_Severely_Poor,0,0,0,0,0
1034,50671,195196,564311,111422,67409,269492,451329,133370,66474,428613,560564,173149,80000.0,0.27899998,-1.0111259,2,Non_Poor,Non_Severely_Poor,0,0,0,0,0
1035,82703,212773,196106,199618,117828,197285,321704,54383,261326,321847,309564,28863,0.0,0.16699999999999998,0.66322362,1,Non_Poor,Non_Severely_Poor,0,0,0,0,0
1036,69344,224555,389567,238134,141095,381890,246470,152145,194933,443815,406039,184013,255000.0,0.16699999999999998,2.9300835,1,Non_Poor,Non_Severely_Poor,0,0,0,1,0
1037,145741,162873,234862,147724,157534,164045,235998,133623,316917,295653,187987,121043,175000.0,0.38999999,3.0589757,4,Poor,Non_Severely_Poor,0,1,2,1,0
1038,114694,192180,478772,135954,71653,343086,380021,126840,105191,554407,488437,80765,104000.0,0.44599998,-1.7585425,5,Poor,Non_Severely_Poor,0,0,0,0,0
1039,25717,34553,532117,98813,11414,207884,435383,36519,37057,426325,439548,18670,0.0,0.0,-1.7502288,1,Non_Poor,Non_Severely_Poor,0,0,0,0,8
1040,99414,168480,514737,138969,126058,249525,408010,138007,195067,433493,410051,190189,0.0,0.056000002,-0.92457676,1,Non_Poor,Non_Severely_Poor,0,0,0,0,9
1041,335518,158713,240668,186701,325341,196956,195216,204087,413138,383783,168888,262991,90000.0,0.33399999,0.77720755,3,Poor,Non_Severely_Poor,0,0,1,0,8
1042,140000,180172,269187,332241,176648,183839,330715,230398,292207,422825,317605,196163,352214.28,0.27899998,-1.1235608,2,Non_Poor,Non_Severely_Poor,0,4,0,1,5
1043,28881,121718,577643,193358,58558,266447,417653,178942,294155,424575,210934,299136,240000.0,0.16699999999999998,4.5035362,1,Non_Poor,Non_Severely_Poor,0,0,2,1,5
1044,171880,309503,259049,181168,179732,330156,269581,142131,227266,561902,283944,155688,390857.13,0.27899998,-1.6985008999999998,2,Non_Poor,Non_Severely_Poor,0,0,0,0,5
1045,67366,340730,391473,122031,67662,350145,389635,114158,143940,535542,443567,105751,309000.0,0.38999999,0.18389739,4,Poor,Non_Severely_Poor,0,0,0,0,1
1046,119389,283555,296835,221821,148532,298095,303425,171548,343499,401967,346187,137147,127571.43,0.38999999,-0.20155305,4,Poor,Non_Severely_Poor,0,0,0,0,2
1047,128683,285193,194062,313662,176332,312106,202206,230956,394602,405473,162026,266699,0.0,0.38999999,-0.92210394,4,Poor,Non_Severely_Poor,0,0,1,0,7
1048,77209,166574,462279,215538,114887,253813,289459,263441,418571,411439,117652,281138,168000.0,0.16699999999999998,-0.59382021,1,Non_Poor,Non_Severely_Poor,0,0,0,0,8
1049,150593,185076,182187,173344,197043,212132,220529,61496,355565,260296,286650,19089,0.0,0.0,2.2237775,1,Non_Poor,Non_Severely_Poor,0,2,5,0,9
1050,60008,253515,511357,96720,55811,260962,485826,119001,83465,520789,473947,150599,336000.0,0.33399999,2.0143020000000003,3,Poor,Non_Severely_Poor,0,0,0,0,0
1051,62,144138,777333,67,44,111733,809771,52,151,600372,628267,10,75000.0,0.38999999,1.2398643,4,Poor,Non_Severely_Poor,0,0,0,0,0
1052,78518,160753,276991,174938,90181,256148,234429,110442,275506,359399,214199,72496,0.0,0.38999999,-0.60721427,4,Poor,Non_Severely_Poor,0,0,0,0,1
1053,94389,161911,435650,229650,74212,256960,430902,159526,254184,583611,188093,202912,161000.0,0.056000002,2.9569604,1,Non_Poor,Non_Severely_Poor,2,3,3,0,0
1054,65654,380833,282308,192805,96433,395159,239971,190037,173393,562629,265066,227712,108000.0,0.38999999,-2.1530409,4,Poor,Non_Severely_Poor,0,0,0,0,0
1055,32636,211872,591051,86041,29121,282574,547642,62263,130245,569756,434453,94346,80000.0,0.22299999,-0.75012159,2,Non_Poor,Non_Severely_Poor,0,0,1,0,3
1056,67347,170202,309102,144549,100274,185166,302752,103008,183011,416000,232642,89947,144285.72,0.33399999,-0.76573664,3,Poor,Non_Severely_Poor,0,0,0,1,9
1057,130918,193834,382853,213995,136568,319237,363867,101928,226659,399491,535383,67267,105000.0,0.44599998,-0.2134469,5,Poor,Non_Severely_Poor,0,0,0,0,5
1058,53238,175403,531605,161354,56542,265912,465260,133886,66261,482325,526764,153450,295000.0,0.22299999,1.1944457,2,Non_Poor,Non_Severely_Poor,0,0,0,0,7
1059,71015,184145,354614,81426,77490,216303,321683,75724,183970,387929,271792,77909,22000.0,0.33399999,-1.0193101999999998,3,Poor,Non_Severely_Poor,0,0,0,5,4
1060,14138,129709,550383,227370,24747,222998,569368,104487,110644,628719,390406,99031,392571.44,0.50199997,-2.2371726,5,Poor,Poor,0,2,0,0,2
1061,29386,182546,257720,221548,85996,213977,313862,77365,245686,337057,303738,35119,75000.0,0.38999999,-0.16933239,4,Poor,Non_Severely_Poor,0,0,0,0,2
1062,41552,272834,384035,223179,68075,301318,396090,156117,228423,602421,319856,78100,120000.0,0.38999999,-0.98275113,4,Poor,Non_Severely_Poor,0,0,0,0,0
1063,90560,139097,324168,137375,122556,274729,254108,39807,245805,395919,232675,47201,80000.0,0.33399999,0.35693026,3,Poor,Non_Severely_Poor,0,0,1,0,6
1064,49618,286427,186506,399049,127297,277572,302745,213986,317499,489039,207608,214654,40000.0,0.391,-3.5311925000000004,5,Poor,Non_Severely_Poor,0,0,0,0,0
1065,30472,177447,670652,43029,43682,221105,610075,46738,107873,514675,500603,105649,,0.16699999999999998,-0.62671167,1,Non_Poor,Non_Severely_Poor,0,0,0,1,1
1066,49676,272368,256128,113028,50635,319953,217279,103333,181191,516334,124435,99640,380000.0,0.55799997,-4.8706875,5,Poor,Poor,0,0,3,0,9
1067,32203,166869,418127,74001,34558,264251,311745,80646,177058,575292,63843,105407,25000.0,0.50199997,-3.788530600000001,5,Poor,Poor,0,1,0,1,3
1068,12872,171789,606309,130630,30515,369755,400400,120930,204274,746296,156727,121503,61428.57,0.33500001,-3.853287,4,Poor,Non_Severely_Poor,0,0,0,0,2
1069,102723,168532,292510,127435,134428,188371,237930,130471,477222,212696,96416,135266,20000.0,0.056000002,1.6264168,1,Non_Poor,Non_Severely_Poor,0,0,0,0,0
1070,36397,281810,298417,304976,85335,296235,458152,81878,220135,695327,279525,33813,70000.0,0.38999999,1.0463884,4,Poor,Non_Severely_Poor,0,0,0,0,0
1071,24429,97914,453809,115048,27388,186630,417512,59670,207153,318482,340060,55905,85000.0,0.38999999,-0.23266152,4,Poor,Non_Severely_Poor,0,2,4,0,2
1072,46087,200959,284819,389735,131755,216276,373543,200026,232397,595448,273014,127941,125000.0,0.16699999999999998,-0.84044141,1,Non_Poor,Non_Severely_Poor,0,0,0,0,4
1073,46985,156357,581037,137221,70880,236004,530862,83854,199169,810395,109740,109496,16000.0,0.44599998,-1.2136196,5,Poor,Non_Severely_Poor,0,0,0,0,13
1074,117408,110190,97001,366601,148680,266071,180522,95927,246809,362584,218465,93742,85000.0,0.22299999,1.2338023,2,Non_Poor,Non_Severely_Poor,0,0,0,1,0
1075,66390,184234,315840,124736,97045,198864,344924,50367,170586,387246,340616,23152,200000.0,0.16699999999999998,-0.9542926,1,Non_Poor,Non_Severely_Poor,0,0,2,0,8
1076,142466,287556,342204,149374,155759,250179,381352,134310,315475,388543,460818,63964,127000.0,0.38999999,-1.3645591,4,Poor,Non_Severely_Poor,0,0,0,0,9
1077,34715,301281,192474,162730,44272,312830,235142,98956,117280,344848,370861,88611,37000.0,0.44599998,-0.88126653,5,Poor,Non_Severely_Poor,0,0,0,0,4
1078,8619,159211,691119,62651,14569,237947,604074,65010,32766,628680,484041,83313,70000.0,0.33399999,0.68501377,3,Poor,Non_Severely_Poor,0,0,0,0,3
1079,23985,110400,648868,138347,35858,226935,516536,142271,159518,503821,270451,295010,32000.0,0.44599998,-2.1975877,5,Poor,Non_Severely_Poor,0,0,0,0,6
1080,3057,60988,392594,234561,9644,212375,448995,20186,103416,575109,210092,32983,80200.0,0.22299999,-0.41623396,2,Non_Poor,Non_Severely_Poor,0,0,0,0,7
1081,55327,342979,437493,85801,65180,421805,351447,83168,131821,570553,399276,127150,0.0,0.38999999,0.091200583,4,Poor,Non_Severely_Poor,0,0,0,2,4
1082,26780,135247,235299,293874,61164,142394,399269,88373,237199,470955,140158,73288,112285.71,0.44599998,-0.42877164,5,Poor,Non_Severely_Poor,0,0,3,0,5
1083,69208,174147,356249,321996,80771,285011,458563,97255,294511,601125,225964,107200,127000.0,0.38999999,-1.1959486,4,Poor,Non_Severely_Poor,0,0,0,0,0
1084,51226,185570,343712,110692,65998,213762,304499,106941,201441,302838,278486,138835,103000.0,0.22299999,-3.0417173,2,Non_Poor,Non_Severely_Poor,0,0,0,0,1
1085,37107,102585,472853,309055,63832,160232,586794,110742,332419,427394,135108,333879,55000.0,0.33399999,-1.1860369,3,Poor,Non_Severely_Poor,0,0,0,0,0
1086,154604,264554,356194,146248,194413,273280,315400,138507,332633,476213,249486,170468,231000.0,0.33500001,-3.2395885,4,Poor,Non_Severely_Poor,1,3,0,0,8
1087,112948,201794,397622,209236,139644,233326,448746,99884,179832,381338,567813,99817,22000.0,0.27899998,-0.57658821,2,Non_Poor,Non_Severely_Poor,0,0,0,0,0
1088,127582,259799,272589,261630,107916,360267,192699,260718,330531,467528,137135,293606,100000.0,0.22299999,0.22533847,2,Non_Poor,Non_Severely_Poor,0,0,0,0,17
1089,691200,0,0,0,691200,0,0,0,921600,0,0,0,430000.0,0.16699999999999998,5.0778551,1,Non_Poor,Non_Severely_Poor,0,0,0,0,0
1090,34146,312970,270086,73998,42028,340179,234971,74022,123914,471061,214007,112618,159000.0,0.16699999999999998,-1.242677,1,Non_Poor,Non_Severely_Poor,0,0,0,0,1
1091,34999,160335,564090,162176,54348,277327,442616,147309,198727,643309,288090,98674,185000.0,0.44599998,-1.1818436,5,Poor,Non_Severely_Poor,0,0,0,0,0
1092,236198,223870,238458,223074,241367,213803,253518,212912,258785,411089,456174,102752,487000.0,0.44599998,1.4069074,5,Poor,Non_Severely_Poor,0,0,2,0,0
1093,140128,285502,307249,188721,196152,284032,265314,176102,310795,387070,412089,118846,30000.0,0.38999999,0.088379741,4,Poor,Non_Severely_Poor,1,3,0,0,25
1094,123914,221434,341681,234571,107246,316355,345904,152095,316553,462768,326871,122608,20000.0,0.22299999,-0.79248852,2,Non_Poor,Non_Severely_Poor,0,0,0,0,7
1095,37,56997,864558,8,0,36816,884774,10,0,88096,1140695,9,55000.0,0.22299999,-1.0026889,2,Non_Poor,Non_Severely_Poor,0,0,0,0,0
1096,8155,70450,505669,106926,18702,214371,408790,49337,20679,351841,513018,36062,50000.0,0.33399999,1.212002,3,Poor,Non_Severely_Poor,0,0,0,0,0
1097,92258,251056,226805,121081,148821,209877,229344,103158,240106,246601,365572,69321,42857.145,0.33399999,-0.52207494,3,Poor,Non_Severely_Poor,0,0,0,0,2
1098,29169,222326,553289,116816,31620,320129,459560,110291,282983,516342,299182,130293,256857.14,0.22299999,-2.2347014,2,Non_Poor,Non_Severely_Poor,0,0,0,0,0
1099,46701,276842,258699,339358,133300,267410,320053,200837,300292,419500,358754,150254,5000.0,0.55799997,-4.6536388,5,Poor,Poor,0,0,0,0,0
1100,8421,83896,335308,263575,29444,196306,398796,66654,210651,486690,105222,119037,40000.0,0.22299999,-0.83301181,2,Non_Poor,Non_Severely_Poor,0,0,1,0,2
1101,135418,170293,257848,127641,127719,194252,225459,143770,273161,201999,317900,128540,298000.0,0.16699999999999998,4.6308050000000005,1,Non_Poor,Non_Severely_Poor,0,1,4,4,0
1102,40859,185197,420942,274602,117923,224350,503338,75989,306498,615110,233893,73299,120000.0,0.33399999,0.51221091,3,Poor,Non_Severely_Poor,0,2,0,0,4
1103,227200,373124,257531,63745,254609,355528,282159,29304,304176,489119,357065,78440,0.0,0.50199997,0.46419409,5,Poor,Poor,0,0,0,0,6
1104,6407,165953,480609,38231,7888,246225,401069,36018,88466,436133,366701,30300,34285.715,0.38999999,-0.88923621,4,Poor,Non_Severely_Poor,0,0,0,0,0
1105,150330,116363,305100,119407,151698,116240,316098,107164,244713,150067,423817,103003,167000.0,0.16699999999999998,3.8796861,1,Non_Poor,Non_Severely_Poor,0,0,3,0,0
1106,71705,178044,633983,37868,53123,189394,624327,54756,91039,319965,730383,87413,360000.0,0.33399999,-0.24164286,3,Poor,Non_Severely_Poor,0,0,0,0,7
1107,12428,166339,501494,241339,34543,415813,301960,169284,229265,679078,99451,221006,35000.0,0.38999999,-1.8221432,4,Poor,Non_Severely_Poor,0,0,0,0,10
1108,150259,163112,320744,57085,46578,276747,315154,52721,84998,525142,271865,39595,154000.0,0.38999999,3.2759957,4,Poor,Non_Severely_Poor,0,0,0,0,3
1109,43857,219934,314055,343754,131189,278811,321457,190143,374276,446809,252755,154960,20000.0,0.50199997,-2.7522254,5,Poor,Poor,0,0,2,0,5
1110,43054,144269,354124,380153,112482,195520,433730,179868,315990,526085,132155,254570,90000.0,0.16699999999999998,1.9428266,1,Non_Poor,Non_Severely_Poor,0,0,0,0,0
1111,45322,195455,361492,88931,38631,230753,311979,109837,81859,414779,285911,139051,60000.0,0.44599998,-0.61635083,5,Poor,Non_Severely_Poor,0,0,0,0,0
1112,83091,158202,390114,59793,104429,168036,366387,52348,160611,400322,312436,48231,470000.0,0.38999999,3.2279432,4,Poor,Non_Severely_Poor,0,0,1,0,7
1113,139346,211719,187302,383233,227828,149302,349556,194914,391044,246682,317024,274050,234000.0,0.38999999,-1.1681247,4,Poor,Non_Severely_Poor,0,0,0,0,4
1114,63882,188058,512417,157243,88192,199726,559744,73938,211079,424643,398195,194883,70000.0,0.38999999,-0.08344122,4,Poor,Non_Severely_Poor,0,0,3,0,9
1115,15895,169269,656810,79626,26508,266561,602759,25772,83894,532226,577040,35640,0.0,0.22299999,3.8836565,2,Non_Poor,Non_Severely_Poor,0,0,0,0,1
1116,40238,260766,506327,114269,61831,290972,440457,128340,122665,456276,505344,144515,30000.0,0.27899998,-2.3056548,2,Non_Poor,Non_Severely_Poor,0,0,0,0,1
1117,45924,244636,354906,276134,152541,291836,265871,211352,258650,552234,223485,194431,340000.0,0.16699999999999998,0.023955463,1,Non_Poor,Non_Severely_Poor,0,0,1,0,12
1118,125124,233614,370461,192401,134488,243860,412744,130508,180809,414760,534571,98660,101428.57,0.16699999999999998,0.93753701,1,Non_Poor,Non_Severely_Poor,0,0,0,0,0
1119,79455,274751,254713,82281,85780,235834,310866,58720,95162,378068,350975,97395,12000.0,0.44599998,-2.6575823,5,Poor,Non_Severely_Poor,0,0,0,0,9
1120,1231,164939,392955,132075,4002,232358,351892,102948,18912,469528,357000,76160,30000.0,0.50199997,-3.3659711000000003,5,Poor,Poor,0,0,0,0,0
1121,145033,237496,193088,345983,181739,270471,193769,275621,342847,418717,308717,158519,,0.33399999,2.9105384,3,Poor,Non_Severely_Poor,0,0,0,0,3
1122,100200,180057,223783,187160,129631,198816,304171,58582,265872,270634,358269,26825,50000.0,0.16699999999999998,-1.2424985,1,Non_Poor,Non_Severely_Poor,0,0,0,0,2
1123,1526,69130,533785,317159,17353,216011,620243,67993,119991,615512,438557,54740,0.0,0.22299999,-2.1860881,2,Non_Poor,Non_Severely_Poor,0,0,0,0,7
1124,167062,166916,355851,231771,122016,236038,429920,133626,315532,404619,344594,164055,10000.0,0.50199997,-1.7055776000000002,5,Poor,Poor,0,0,1,2,9
1125,190541,198158,439794,93107,191190,219078,416300,95032,252013,337978,517728,121081,173000.0,0.16699999999999998,0.37821168,1,Non_Poor,Non_Severely_Poor,0,0,0,0,0
