,,municipality,commune,pic_1,panoramaid1,pic_2_1,panoramaid2,pic_2_2,panoramaid3,pic_2_3,panoramaid4,pic_2_4,panoramaid5,pic_2_5,pic_2_2_detections,pic_1_detections,pic_2_1_detections,pic_2_3_detections,pic_2_4_detections,pic_2_5_detections
uuid:73e00e9a-7e43-48af-ae8e-aee7e708bdf6,Feb 18,Viana,Viana Sede,1550487129743.jpg,Left,1550487149079.jpg,Left-front,1550487167917.jpg,Front,1550487181660.jpg,Front-right,1550487191840.jpg,Right,1550487219695.jpg,[],[],[],[],[],"[{'name': 'potted plant', 'percentage_probability': 55.075329542160034, 'box_points': [471, 224, 530, 289]}]"
uuid:74454e4e-7540-4313-87e9-1776fbd5a86a,Feb 5,Viana,Viana Sede,1549370127795.jpg,Left,1549370139036.jpg,Left-front,1549370149381.jpg,Front,1549370158369.jpg,Front-right,1549370167778.jpg,Right,1549370176204.jpg,[],[],[],"[{'name': 'person', 'percentage_probability': 57.890427112579346, 'box_points': [290, 146, 304, 192]}]","[{'name': 'person', 'percentage_probability': 80.48096895217896, 'box_points': [27, 179, 49, 250]}]",[]
uuid:744d274f-ca1d-4486-97df-8b5b25811454,Jan 31,Cazenga,Cazenga,1548956266644.jpg,Left,1548956277163.jpg,Left-front,1548956288537.jpg,Front,1548956308014.jpg,Front-right,1548956322324.jpg,Right,1548956333081.jpg,"[{'name': 'car', 'percentage_probability': 93.57309341430664, 'box_points': [0, 197, 149, 289]}, {'name': 'car', 'percentage_probability': 70.93383073806763, 'box_points': [581, 232, 640, 410]}, {'name': 'car', 'percentage_probability': 76.68067216873169, 'box_points': [79, 182, 304, 304]}, {'name': 'car', 'percentage_probability': 99.0744948387146, 'box_points': [270, 192, 530, 343]}]",[],"[{'name': 'person', 'percentage_probability': 61.24061942100525, 'box_points': [400, 216, 415, 258]}, {'name': 'car', 'percentage_probability': 55.717867612838745, 'box_points': [410, 209, 498, 256]}, {'name': 'car', 'percentage_probability': 61.177241802215576, 'box_points': [526, 209, 624, 272]}, {'name': 'car', 'percentage_probability': 73.26469421386719, 'box_points': [485, 216, 533, 265]}, {'name': 'car', 'percentage_probability': 79.31629419326782, 'box_points': [584, 238, 639, 302]}, {'name': 'person', 'percentage_probability': 86.59871220588684, 'box_points': [102, 231, 160, 435]}, {'name': 'car', 'percentage_probability': 91.34893417358398, 'box_points': [154, 232, 416, 467]}]","[{'name': 'cell phone', 'percentage_probability': 60.19234657287598, 'box_points': [404, 276, 630, 374]}, {'name': 'car', 'percentage_probability': 50.297218561172485, 'box_points': [3, 173, 125, 323]}, {'name': 'car', 'percentage_probability': 94.47188377380371, 'box_points': [64, 172, 345, 411]}, {'name': 'car', 'percentage_probability': 51.19185447692871, 'box_points': [301, 172, 631, 370]}]","[{'name': 'car', 'percentage_probability': 61.564189195632935, 'box_points': [423, 195, 570, 265]}, {'name': 'car', 'percentage_probability': 75.91480016708374, 'box_points': [235, 195, 479, 314]}, {'name': 'car', 'percentage_probability': 96.43124341964722, 'box_points': [133, 218, 394, 348]}]","[{'name': 'car', 'percentage_probability': 65.11982679367065, 'box_points': [44, 242, 127, 295]}, {'name': 'person', 'percentage_probability': 81.98221325874329, 'box_points': [123, 235, 169, 342]}, {'name': 'sandwich', 'percentage_probability': 51.908767223358154, 'box_points': [142, 366, 232, 426]}, {'name': 'cup', 'percentage_probability': 53.75643968582153, 'box_points': [339, 288, 416, 375]}]"
uuid:75986967-9350-4584-831f-de994168f3a3,Feb 15,Cacuaco,Kikolo,1550231130566.jpg,Left,1550231143439.jpg,Left-front,1550231155423.jpg,Front,1550231165650.jpg,Front-right,1550231177168.jpg,Right,1550231189200.jpg,"[{'name': 'person', 'percentage_probability': 87.07947731018066, 'box_points': [105, 135, 126, 199]}, {'name': 'car', 'percentage_probability': 99.24870729446411, 'box_points': [269, 135, 490, 264]}]",[],"[{'name': 'person', 'percentage_probability': 71.3810384273529, 'box_points': [468, 80, 482, 122]}, {'name': 'person', 'percentage_probability': 95.94823718070984, 'box_points': [563, 79, 588, 153]}]",[],"[{'name': 'person', 'percentage_probability': 83.7024450302124, 'box_points': [60, 148, 81, 197]}, {'name': 'person', 'percentage_probability': 88.45319151878357, 'box_points': [85, 144, 104, 197]}, {'name': 'person', 'percentage_probability': 90.2646541595459, 'box_points': [17, 150, 41, 195]}]","[{'name': 'person', 'percentage_probability': 76.24117136001587, 'box_points': [327, 149, 339, 180]}, {'name': 'person', 'percentage_probability': 79.07629013061523, 'box_points': [315, 151, 325, 180]}, {'name': 'person', 'percentage_probability': 62.09869980812073, 'box_points': [35, 193, 61, 243]}, {'name': 'person', 'percentage_probability': 99.0328311920166, 'box_points': [150, 169, 190, 272]}]"
uuid:75b1980e-bb8b-4f5d-a57f-44ad2405e0dc,Feb 4,Viana,Viana Sede,1549295577808.jpg,Left,1549295597195.jpg,Left-front,1549295608679.jpg,Front,1549295619562.jpg,Front-right,1549295628527.jpg,Right,1549295641132.jpg,"[{'name': 'person', 'percentage_probability': 66.50316715240479, 'box_points': [42, 103, 51, 123]}, {'name': 'boat', 'percentage_probability': 63.95764350891113, 'box_points': [561, 90, 613, 120]}]",[],[],"[{'name': 'boat', 'percentage_probability': 63.25441002845764, 'box_points': [240, 95, 285, 132]}]",[],"[{'name': 'person', 'percentage_probability': 73.79931807518005, 'box_points': [415, 90, 430, 130]}, {'name': 'person', 'percentage_probability': 50.495344400405884, 'box_points': [283, 101, 295, 122]}, {'name': 'person', 'percentage_probability': 63.56046199798584, 'box_points': [522, 101, 535, 135]}, {'name': 'person', 'percentage_probability': 53.45851182937622, 'box_points': [507, 115, 518, 139]}, {'name': 'person', 'percentage_probability': 90.07657170295715, 'box_points': [378, 88, 399, 141]}, {'name': 'person', 'percentage_probability': 94.85393762588501, 'box_points': [539, 94, 587, 167]}, {'name': 'person', 'percentage_probability': 66.52325391769409, 'box_points': [591, 101, 627, 168]}, {'name': 'person', 'percentage_probability': 60.39049029350281, 'box_points': [619, 100, 640, 169]}]"
uuid:75d0d79b-1233-41b4-ab0c-10b3e755f01a,Feb 9,Viana,Viana Sede,1549722189101.jpg,Left,1549722210558.jpg,Left-front,1549722228854.jpg,Front,1549722280128.jpg,Front-right,1549722296171.jpg,Right,1549722346642.jpg,[],[],"[{'name': 'car', 'percentage_probability': 81.29045963287354, 'box_points': [6, 47, 313, 348]}]",[],"[{'name': 'potted plant', 'percentage_probability': 67.57453680038452, 'box_points': [565, 275, 612, 313]}]","[{'name': 'person', 'percentage_probability': 94.35884952545166, 'box_points': [65, 206, 122, 365]}, {'name': 'person', 'percentage_probability': 93.90331506729126, 'box_points': [112, 226, 162, 356]}]"
uuid:75e6f282-bbad-4127-8e89-3e46fbbb4095,Feb 1,Kilamba Kiaxi,Kilamba Kiaxi,1549014984248.jpg,Left,1549014995569.jpg,Left-front,1549015004856.jpg,Front,1549015014299.jpg,Front-right,1549015022337.jpg,Right,1549015032090.jpg,[],[],[],"[{'name': 'person', 'percentage_probability': 80.95508813858032, 'box_points': [231, 200, 299, 303]}, {'name': 'person', 'percentage_probability': 67.22283959388733, 'box_points': [407, 214, 445, 300]}, {'name': 'person', 'percentage_probability': 71.11479043960571, 'box_points': [353, 196, 413, 349]}, {'name': 'person', 'percentage_probability': 76.51760578155518, 'box_points': [271, 197, 330, 356]}, {'name': 'person', 'percentage_probability': 56.4300000667572, 'box_points': [284, 229, 350, 360]}, {'name': 'person', 'percentage_probability': 71.13180160522461, 'box_points': [428, 142, 510, 340]}]","[{'name': 'person', 'percentage_probability': 98.83008003234863, 'box_points': [171, 104, 279, 284]}]","[{'name': 'person', 'percentage_probability': 52.969878911972046, 'box_points': [270, 100, 279, 123]}, {'name': 'person', 'percentage_probability': 60.086750984191895, 'box_points': [306, 101, 316, 134]}, {'name': 'person', 'percentage_probability': 97.91450500488281, 'box_points': [2, 142, 64, 334]}]"
uuid:7608ed66-2376-481e-9154-8426ef9a4870,Feb 8,Cacuaco,Kikolo,1549631248904.jpg,Left,1549631264653.jpg,Left-front,1549631275499.jpg,Front,1549631286505.jpg,Front-right,1549631297790.jpg,Right,1549631309096.jpg,"[{'name': 'chair', 'percentage_probability': 84.23486948013306, 'box_points': [37, 288, 78, 407]}, {'name': 'person', 'percentage_probability': 54.849058389663696, 'box_points': [0, 156, 56, 426]}]",[],[],[],"[{'name': 'person', 'percentage_probability': 74.33570623397827, 'box_points': [551, 139, 567, 196]}, {'name': 'person', 'percentage_probability': 66.24977588653564, 'box_points': [574, 159, 610, 205]}, {'name': 'person', 'percentage_probability': 95.39822340011597, 'box_points': [274, 197, 326, 321]}]","[{'name': 'person', 'percentage_probability': 98.19440841674805, 'box_points': [403, 143, 493, 409]}, {'name': 'person', 'percentage_probability': 97.47326374053955, 'box_points': [248, 110, 342, 401]}]"
uuid:764718f3-806e-446b-be1d-eb8302e880cf,Feb 8,Cacuaco,Kikolo,1549627996619.jpg,Left,1549628011815.jpg,Left-front,1549628021869.jpg,Front,1549628029565.jpg,Front-right,1549628037391.jpg,Right,1549628044683.jpg,"[{'name': 'person', 'percentage_probability': 60.88928580284119, 'box_points': [122, 6, 140, 59]}]",[],"[{'name': 'person', 'percentage_probability': 91.25285148620605, 'box_points': [505, 0, 545, 59]}, {'name': 'car', 'percentage_probability': 92.57928133010864, 'box_points': [381, 139, 430, 207]}]",[],[],"[{'name': 'umbrella', 'percentage_probability': 60.64764857292175, 'box_points': [111, 83, 240, 123]}, {'name': 'umbrella', 'percentage_probability': 51.39651894569397, 'box_points': [108, 85, 242, 169]}]"
uuid:76a14852-03b4-4042-a060-5c66af53c626,Feb 14,Samba,Futungo de Belas,1550159035402.jpg,Left,1550159044689.jpg,Left-front,1550159055425.jpg,Front,1550159067752.jpg,Front-right,1550159085766.jpg,Right,1550159099567.jpg,[],[],[],[],[],[]
uuid:76c8943e-7644-41d6-a1b5-2819a895bfbc,Feb 15,Viana,Viana Sede,1550220668951.jpg,Left,1550220687305.jpg,Left-front,1550220705969.jpg,Front,1550220716299.jpg,Front-right,1550220733617.jpg,Right,1550220754640.jpg,"[{'name': 'car', 'percentage_probability': 93.82967948913574, 'box_points': [19, 245, 362, 430]}]",[],"[{'name': 'truck', 'percentage_probability': 53.75538468360901, 'box_points': [336, 281, 358, 304]}]",[],[],"[{'name': 'car', 'percentage_probability': 96.02332711219788, 'box_points': [0, 214, 59, 262]}, {'name': 'person', 'percentage_probability': 79.45681810379028, 'box_points': [419, 208, 451, 310]}, {'name': 'potted plant', 'percentage_probability': 55.98784685134888, 'box_points': [398, 294, 429, 344]}]"
uuid:76d7f884-a40d-45e2-bbb4-337cac8f5daf,Feb 21,Cacuaco,Kikolo,1550767453646.jpg,Left,1550767481949.jpg,Left-front,1550767494578.jpg,Front,1550767510281.jpg,Front-right,1550767523918.jpg,Right,1550767538772.jpg,"[{'name': 'person', 'percentage_probability': 79.08481359481812, 'box_points': [0, 20, 14, 54]}, {'name': 'person', 'percentage_probability': 74.18670654296875, 'box_points': [80, 25, 98, 71]}, {'name': 'person', 'percentage_probability': 55.9691846370697, 'box_points': [109, 27, 120, 72]}, {'name': 'person', 'percentage_probability': 85.07792949676514, 'box_points': [36, 29, 65, 117]}]",[],"[{'name': 'person', 'percentage_probability': 70.23357152938843, 'box_points': [204, 87, 222, 138]}, {'name': 'person', 'percentage_probability': 88.69503736495972, 'box_points': [219, 87, 236, 131]}, {'name': 'person', 'percentage_probability': 76.87214612960815, 'box_points': [143, 82, 194, 257]}, {'name': 'person', 'percentage_probability': 86.8218183517456, 'box_points': [2, 52, 62, 260]}, {'name': 'person', 'percentage_probability': 97.35691547393799, 'box_points': [41, 70, 189, 341]}]",[],"[{'name': 'person', 'percentage_probability': 58.45223665237427, 'box_points': [520, 88, 537, 135]}, {'name': 'car', 'percentage_probability': 87.26109266281128, 'box_points': [364, 71, 434, 123]}, {'name': 'person', 'percentage_probability': 71.56445980072021, 'box_points': [461, 82, 482, 137]}, {'name': 'person', 'percentage_probability': 59.59351062774658, 'box_points': [479, 78, 496, 138]}, {'name': 'person', 'percentage_probability': 93.245530128479, 'box_points': [571, 57, 618, 182]}, {'name': 'person', 'percentage_probability': 81.7063570022583, 'box_points': [542, 98, 581, 190]}, {'name': 'dining table', 'percentage_probability': 64.07526135444641, 'box_points': [1, 197, 153, 347]}, {'name': 'chair', 'percentage_probability': 88.32449913024902, 'box_points': [107, 183, 245, 349]}]","[{'name': 'person', 'percentage_probability': 60.40002703666687, 'box_points': [606, 70, 626, 132]}, {'name': 'car', 'percentage_probability': 80.83019256591797, 'box_points': [507, 71, 583, 130]}, {'name': 'person', 'percentage_probability': 69.96360421180725, 'box_points': [292, 135, 332, 244]}, {'name': 'chair', 'percentage_probability': 74.91408586502075, 'box_points': [261, 205, 387, 347]}]"
uuid:76e0d823-9567-4455-8be9-de67daa7b779,Jan 30,Cazenga,Tala Hadi,1548862813300.jpg,Left,1548862827181.jpg,Left-front,1548862839584.jpg,Front,1548862851062.jpg,Front-right,1548862860176.jpg,Right,1548862870644.jpg,[],"[{'name': 'person', 'percentage_probability': 59.48522686958313, 'box_points': [259, 95, 359, 483]}]",[],[],[],[]
uuid:76ec4456-cb5b-4e65-b8f2-2c29e9741f5e,Jan 25,Cacuaco,Cacuaco,1548412505316.jpg,Left,1548412528904.jpg,Left-front,1548412543521.jpg,Front,1548412575264.jpg,Front-right,1548412595676.jpg,Right,1548412615157.jpg,[],[],[],"[{'name': 'person', 'percentage_probability': 57.08068609237671, 'box_points': [237, 234, 307, 330]}, {'name': 'person', 'percentage_probability': 86.74854636192322, 'box_points': [253, 215, 293, 323]}, {'name': 'motorcycle', 'percentage_probability': 97.85847663879395, 'box_points': [211, 251, 325, 343]}]",[],[]
uuid:770e3c1c-28f1-4c0e-a308-c09f2b86ddd4,Feb 25,Cacuaco,Cacuaco,1551101174170.jpg,Left,1551101218601.jpg,Left-front,1551101251109.jpg,Front,1551101266586.jpg,Front-right,1551101288482.jpg,Right,1551101315618.jpg,"[{'name': 'person', 'percentage_probability': 70.69951295852661, 'box_points': [115, 277, 141, 337]}, {'name': 'person', 'percentage_probability': 64.68258500099182, 'box_points': [139, 265, 176, 341]}]",[],"[{'name': 'person', 'percentage_probability': 86.69090867042542, 'box_points': [367, 283, 381, 327]}]","[{'name': 'person', 'percentage_probability': 76.75085663795471, 'box_points': [368, 210, 383, 257]}, {'name': 'person', 'percentage_probability': 63.99134397506714, 'box_points': [387, 218, 403, 259]}]","[{'name': 'person', 'percentage_probability': 88.96055221557617, 'box_points': [564, 240, 605, 359]}]","[{'name': 'person', 'percentage_probability': 52.238720655441284, 'box_points': [380, 254, 392, 281]}, {'name': 'person', 'percentage_probability': 81.68892860412598, 'box_points': [120, 242, 182, 358]}]"
uuid:772e6172-7c31-4cb9-a896-95406e9d5f53,Feb 12,Viana,Viana Sede,1549974686932.jpg,Left,1549974702789.jpg,Left-front,1549974712248.jpg,Front,1549974721359.jpg,Front-right,1549974731559.jpg,Right,1549974741216.jpg,"[{'name': 'person', 'percentage_probability': 74.3144154548645, 'box_points': [313, 145, 327, 190]}, {'name': 'person', 'percentage_probability': 63.492727279663086, 'box_points': [157, 177, 173, 210]}, {'name': 'car', 'percentage_probability': 73.34079146385193, 'box_points': [329, 138, 381, 190]}, {'name': 'person', 'percentage_probability': 54.81340289115906, 'box_points': [202, 158, 225, 216]}, {'name': 'person', 'percentage_probability': 81.55995607376099, 'box_points': [79, 397, 205, 477]}]",[],"[{'name': 'person', 'percentage_probability': 50.174033641815186, 'box_points': [372, 91, 386, 123]}, {'name': 'car', 'percentage_probability': 91.36288166046143, 'box_points': [548, 54, 610, 107]}, {'name': 'person', 'percentage_probability': 87.65649795532227, 'box_points': [453, 115, 480, 174]}, {'name': 'person', 'percentage_probability': 92.15047359466553, 'box_points': [393, 119, 446, 219]}, {'name': 'person', 'percentage_probability': 97.95758724212646, 'box_points': [306, 112, 357, 237]}]",[],[],[]
uuid:77492c58-61fa-4c9b-b407-71d484267fa1,Feb 21,Cacuaco,Cacuaco,1550760173849.jpg,Left,1550760183651.jpg,Left-front,1550760190935.jpg,Front,1550760198248.jpg,Front-right,1550760205469.jpg,Right,1550760212829.jpg,"[{'name': 'person', 'percentage_probability': 85.74707508087158, 'box_points': [2, 115, 19, 162]}, {'name': 'backpack', 'percentage_probability': 60.29389500617981, 'box_points': [119, 276, 161, 345]}, {'name': 'person', 'percentage_probability': 94.44541931152344, 'box_points': [102, 223, 183, 349]}]",[],"[{'name': 'person', 'percentage_probability': 71.24611139297485, 'box_points': [342, 106, 353, 139]}]",[],"[{'name': 'person', 'percentage_probability': 76.89741849899292, 'box_points': [476, 147, 497, 197]}, {'name': 'person', 'percentage_probability': 93.49315166473389, 'box_points': [580, 109, 629, 195]}]","[{'name': 'person', 'percentage_probability': 72.91917204856873, 'box_points': [167, 133, 188, 187]}]"
uuid:774efca1-40c8-4a0c-85f1-ea916fb52e41,Feb 8,Viana,Viana Sede,1549628645489.jpg,Left,1549628689599.jpg,Left-front,1549628710939.jpg,Front,1549628725152.jpg,Front-right,1549628739532.jpg,Right,1549628750318.jpg,"[{'name': 'person', 'percentage_probability': 90.20411968231201, 'box_points': [394, 279, 428, 390]}]",[],"[{'name': 'person', 'percentage_probability': 84.7477674484253, 'box_points': [287, 248, 306, 295]}, {'name': 'person', 'percentage_probability': 91.00550413131714, 'box_points': [339, 247, 368, 326]}, {'name': 'person', 'percentage_probability': 71.77591323852539, 'box_points': [371, 246, 394, 315]}]",[],"[{'name': 'person', 'percentage_probability': 58.58646631240845, 'box_points': [609, 230, 622, 263]}, {'name': 'person', 'percentage_probability': 75.77681541442871, 'box_points': [522, 237, 542, 306]}, {'name': 'person', 'percentage_probability': 53.143495321273804, 'box_points': [501, 228, 522, 300]}]","[{'name': 'person', 'percentage_probability': 54.99977469444275, 'box_points': [319, 184, 327, 208]}, {'name': 'person', 'percentage_probability': 76.51071548461914, 'box_points': [200, 183, 215, 225]}, {'name': 'person', 'percentage_probability': 67.64007806777954, 'box_points': [458, 195, 484, 231]}, {'name': 'handbag', 'percentage_probability': 67.77913570404053, 'box_points': [486, 221, 527, 299]}, {'name': 'person', 'percentage_probability': 95.9246277809143, 'box_points': [480, 192, 538, 389]}]"
uuid:776fc1de-1666-490d-ba5d-f072b143c2a9,Jan 25,Cacuaco,Funda,1548414031274.jpg,Left,1548414059689.jpg,Left-front,1548414087519.jpg,Front,1548414116954.jpg,Front-right,1548414184649.jpg,Right,1548414221186.jpg,[],[],[],[],[],[]
uuid:77771fb1-e0fe-4b07-a7d9-d9a1cd459792,Feb 2,Maianga,Prenda,1549103607376.jpg,Left,1549103632600.jpg,Left-front,1549103641939.jpg,Front,1549103651687.jpg,Front-right,1549103668368.jpg,Right,1549103679131.jpg,"[{'name': 'person', 'percentage_probability': 88.16733360290527, 'box_points': [229, 176, 257, 264]}, {'name': 'person', 'percentage_probability': 79.66643571853638, 'box_points': [252, 149, 287, 279]}, {'name': 'person', 'percentage_probability': 52.95266509056091, 'box_points': [417, 187, 450, 262]}, {'name': 'person', 'percentage_probability': 66.04174971580505, 'box_points': [398, 187, 450, 285]}, {'name': 'umbrella', 'percentage_probability': 54.666465520858765, 'box_points': [374, 120, 533, 162]}, {'name': 'person', 'percentage_probability': 85.14701128005981, 'box_points': [441, 147, 516, 357]}, {'name': 'person', 'percentage_probability': 70.82021236419678, 'box_points': [494, 147, 554, 343]}]",[],"[{'name': 'person', 'percentage_probability': 63.82843255996704, 'box_points': [590, 187, 623, 266]}, {'name': 'bench', 'percentage_probability': 68.58223676681519, 'box_points': [575, 262, 640, 315]}, {'name': 'person', 'percentage_probability': 98.4553873538971, 'box_points': [525, 150, 585, 333]}]",[],"[{'name': 'bowl', 'percentage_probability': 58.442139625549316, 'box_points': [542, 263, 619, 314]}]","[{'name': 'person', 'percentage_probability': 83.70005488395691, 'box_points': [112, 231, 181, 321]}]"
uuid:7796dc20-6f0a-41ef-9837-128178a50d7c,Feb 12,Viana,Viana Sede,1550050607906.jpg,Left,1550050626488.jpg,Left-front,1550050638996.jpg,Front,1550050647504.jpg,Front-right,1550050658302.jpg,Right,1550050667654.jpg,"[{'name': 'person', 'percentage_probability': 96.26989364624023, 'box_points': [0, 79, 77, 322]}]",[],"[{'name': 'person', 'percentage_probability': 81.36087656021118, 'box_points': [410, 68, 439, 110]}, {'name': 'person', 'percentage_probability': 92.59722232818604, 'box_points': [314, 52, 434, 228]}, {'name': 'person', 'percentage_probability': 97.13189601898193, 'box_points': [475, 0, 543, 211]}]",[],"[{'name': 'person', 'percentage_probability': 82.21569657325745, 'box_points': [105, 29, 122, 73]}, {'name': 'person', 'percentage_probability': 54.52598333358765, 'box_points': [119, 36, 131, 77]}]","[{'name': 'person', 'percentage_probability': 94.19158101081848, 'box_points': [401, 35, 436, 143]}, {'name': 'person', 'percentage_probability': 94.46726441383362, 'box_points': [450, 39, 487, 143]}]"
uuid:77a553b5-e175-4991-b59c-165af04b06a5,Feb 14,Samba,Futungo de Belas,1550146014411.jpg,Left,1550146030477.jpg,Left-front,1550146046454.jpg,Front,1550146058038.jpg,Front-right,1550146069558.jpg,Right,1550146082376.jpg,"[{'name': 'person', 'percentage_probability': 59.854912757873535, 'box_points': [592, 127, 632, 205]}, {'name': 'person', 'percentage_probability': 68.05226802825928, 'box_points': [572, 139, 599, 228]}]",[],[],"[{'name': 'person', 'percentage_probability': 90.60432314872742, 'box_points': [251, 105, 290, 234]}, {'name': 'person', 'percentage_probability': 63.30270767211914, 'box_points': [198, 151, 254, 253]}, {'name': 'boat', 'percentage_probability': 84.98517870903015, 'box_points': [353, 109, 639, 271]}]","[{'name': 'boat', 'percentage_probability': 90.35239219665527, 'box_points': [177, 108, 266, 139]}]","[{'name': 'boat', 'percentage_probability': 99.28591251373291, 'box_points': [194, 170, 250, 224]}]"
uuid:77b5b230-7d96-40ab-9986-02db3079f68d,Feb 13,Samba,Futungo de Belas,1550053391540.jpg,Left,1550053402397.jpg,Left-front,1550053412979.jpg,Front,1550053420557.jpg,Front-right,1550053431546.jpg,Right,1550053441972.jpg,[],[],[],[],[],[]
uuid:78318ac5-43f3-40c1-9c21-42c9bc09c2f5,Feb 13,Samba,Benfica,1550065425669.jpg,Left,1550065440918.jpg,Left-front,1550065463509.jpg,Front,1550065473602.jpg,Front-right,1550065493712.jpg,Right,1550065508010.jpg,[],[],"[{'name': 'truck', 'percentage_probability': 75.42574405670166, 'box_points': [143, 150, 290, 238]}]",[],[],[]
uuid:7856af3d-9fbb-4f89-bada-cc52066b05ad,Feb 9,Viana,Viana Sede,1549709144310.jpg,Left,1549709154695.jpg,Left-front,1549709164412.jpg,Front,1549709175280.jpg,Front-right,1549709183545.jpg,Right,1549709193647.jpg,[],"[{'name': 'person', 'percentage_probability': 88.23586702346802, 'box_points': [308, 268, 361, 483]}]",[],[],"[{'name': 'potted plant', 'percentage_probability': 55.122220516204834, 'box_points': [461, 263, 510, 352]}, {'name': 'potted plant', 'percentage_probability': 82.92396068572998, 'box_points': [72, 63, 251, 348]}]",[]
uuid:7863ef07-229b-435d-aedf-669b253581a3,Feb 8,Cacuaco,Kikolo,1549634518759.jpg,Left,1549634539098.jpg,Left-front,1549634555576.jpg,Front,1549634611891.jpg,Front-right,1549634627053.jpg,Right,1549634653052.jpg,"[{'name': 'truck', 'percentage_probability': 92.39628911018372, 'box_points': [0, 100, 160, 246]}]",[],"[{'name': 'person', 'percentage_probability': 87.42438554763794, 'box_points': [383, 207, 395, 243]}, {'name': 'train', 'percentage_probability': 74.56098794937134, 'box_points': [540, 134, 640, 261]}, {'name': 'truck', 'percentage_probability': 94.23209428787231, 'box_points': [538, 125, 639, 252]}]",[],[],[]
uuid:786bdecd-1b78-463e-b170-312d2d72c6c0,Feb 13,Samba,Benfica,1550072270000.jpg,Left,1550072301959.jpg,Left-front,1550072317071.jpg,Front,1550072333254.jpg,Front-right,1550072344689.jpg,Right,1550072358541.jpg,"[{'name': 'bench', 'percentage_probability': 50.40134787559509, 'box_points': [356, 207, 421, 293]}]","[{'name': 'chair', 'percentage_probability': 71.87079191207886, 'box_points': [161, 367, 223, 467]}, {'name': 'potted plant', 'percentage_probability': 76.0873556137085, 'box_points': [295, 435, 375, 516]}]",[],[],"[{'name': 'car', 'percentage_probability': 80.4034948348999, 'box_points': [435, 193, 500, 235]}]","[{'name': 'person', 'percentage_probability': 67.55399107933044, 'box_points': [180, 169, 203, 216]}, {'name': 'car', 'percentage_probability': 87.9887342453003, 'box_points': [129, 168, 199, 211]}]"
uuid:788fb4f2-c2f9-4c35-b632-6cc9ec04ae4a,Feb 4,Kilamba Kiaxi,Kilamba Kiaxi,1549274926476.jpg,Left,1549274941383.jpg,Left-front,1549274952714.jpg,Front,1549274964830.jpg,Front-right,1549274977493.jpg,Right,1549274987235.jpg,"[{'name': 'car', 'percentage_probability': 91.13449454307556, 'box_points': [0, 265, 31, 360]}]",[],"[{'name': 'person', 'percentage_probability': 70.85158824920654, 'box_points': [614, 216, 640, 333]}]","[{'name': 'person', 'percentage_probability': 95.33755779266357, 'box_points': [388, 222, 459, 418]}]","[{'name': 'person', 'percentage_probability': 74.84492063522339, 'box_points': [266, 196, 357, 398]}, {'name': 'person', 'percentage_probability': 82.18913078308105, 'box_points': [344, 205, 412, 440]}, {'name': 'person', 'percentage_probability': 86.50304079055786, 'box_points': [2, 178, 116, 477]}, {'name': 'person', 'percentage_probability': 92.38736629486084, 'box_points': [54, 187, 174, 477]}, {'name': 'person', 'percentage_probability': 87.95701861381531, 'box_points': [248, 226, 379, 457]}]","[{'name': 'person', 'percentage_probability': 77.5842547416687, 'box_points': [380, 184, 392, 216]}, {'name': 'person', 'percentage_probability': 60.80847382545471, 'box_points': [366, 181, 376, 211]}, {'name': 'person', 'percentage_probability': 51.65896415710449, 'box_points': [418, 180, 429, 210]}]"
uuid:78945d1f-9b7e-4545-b73d-893dca5301e3,Feb 6,Viana,Viana Sede,1549455341414.jpg,Left,1549455360827.jpg,Left-front,1549455375947.jpg,Front,1549455394230.jpg,Front-right,1549455410264.jpg,Right,1549455423712.jpg,"[{'name': 'person', 'percentage_probability': 77.50731706619263, 'box_points': [123, 155, 136, 196]}, {'name': 'person', 'percentage_probability': 90.93807935714722, 'box_points': [189, 154, 202, 193]}, {'name': 'person', 'percentage_probability': 74.84543919563293, 'box_points': [112, 167, 126, 194]}, {'name': 'person', 'percentage_probability': 91.498464345932, 'box_points': [212, 155, 225, 196]}]",[],"[{'name': 'person', 'percentage_probability': 73.38552474975586, 'box_points': [254, 102, 269, 141]}, {'name': 'person', 'percentage_probability': 76.61283016204834, 'box_points': [223, 104, 237, 140]}, {'name': 'person', 'percentage_probability': 70.00893950462341, 'box_points': [227, 103, 246, 141]}, {'name': 'person', 'percentage_probability': 51.667237281799316, 'box_points': [271, 102, 282, 140]}]",[],[],"[{'name': 'person', 'percentage_probability': 87.52446174621582, 'box_points': [611, 180, 633, 268]}, {'name': 'chair', 'percentage_probability': 75.3271222114563, 'box_points': [460, 248, 511, 325]}, {'name': 'person', 'percentage_probability': 83.32624435424805, 'box_points': [594, 180, 622, 271]}, {'name': 'person', 'percentage_probability': 55.46966195106506, 'box_points': [450, 229, 507, 294]}]"
uuid:78a4081c-da9e-4446-8c6c-c5a2861a48a5,Feb 16,Samba,Futungo de Belas,1550314494640.jpg,Left,1550314529897.jpg,Left-front,1550319522972.jpg,Front,1550314563027.jpg,Front-right,1550314579362.jpg,Right,1550314591764.jpg,[],[],[],[],"[{'name': 'sports ball', 'percentage_probability': 86.32875084877014, 'box_points': [522, 21, 538, 37]}]","[{'name': 'car', 'percentage_probability': 80.51088452339172, 'box_points': [390, 135, 416, 158]}]"
