,r0,r1,r2,r3,r4,r5,r6,r7,g0,g1,g2,g3,g4,g5,g6,g7,b0,b1,b2,b3,b4,b5,b6,b7,total_income_2_b,total_deprivations,Wealth_Index,total_deprivations_2,Poor_MPI,Severely_Poor_MPI,train,truck,car,potted plant,person
518,46029,68007,94887,184168,149475,153677,120498,104859,41403,170399,132893,100125,147609,138253,88736,102182,72113,200802,232392,204082,209405,152682,85317,72007,0.0,0.38999999,0.74280959,4,Poor,Non_Severely_Poor,0,0,0,0,9
519,3796,32482,67303,61960,168491,444703,83407,59458,4424,26811,47507,109293,425326,236292,10659,61288,6700,58586,122580,465122,444775,39294,10095,81648,39071.43,0.112,-3.0499938,1,Non_Poor,Non_Severely_Poor,0,0,0,0,8
520,23988,78380,113867,114011,134713,126606,60748,38887,34035,97174,116107,88699,126589,149781,45263,33552,78847,155491,139770,163235,103284,174755,86253,19965,62000.0,0.50199997,-4.3572836,5,Poor,Poor,0,0,0,0,4
521,515,14756,48912,133678,505422,176104,21700,20513,970,23891,50139,155655,496745,154291,14473,25436,5808,59835,131426,313414,543733,129363,11448,33773,162142.86,0.27899998,-2.6766117,2,Non_Poor,Non_Severely_Poor,0,0,0,0,0
522,56017,42275,73413,137145,190446,296551,73184,52569,46451,73701,79076,153242,210872,265553,27418,65287,109348,113872,167504,230706,323653,163796,22785,97136,100000.0,0.22299999,-0.93095976,2,Non_Poor,Non_Severely_Poor,0,1,0,0,0
523,7005,40736,100735,114202,133460,103366,90973,100723,23026,103799,96648,86801,120231,120323,104917,35455,112899,168782,121675,186950,118775,34991,101376,76152,120000.0,0.22299999,-0.9966051,2,Non_Poor,Non_Severely_Poor,0,0,0,2,1
524,10465,61042,109025,111062,79929,74817,180211,64649,51818,126201,94607,109815,63113,59489,77992,108165,148120,177796,112368,161026,116096,12780,16824,176590,0.0,0.22299999,0.25362048,2,Non_Poor,Non_Severely_Poor,1,2,0,0,1
525,20408,82613,123141,111328,165500,297865,58216,62529,23245,97362,144207,136663,154426,247205,55829,62663,71595,220951,250404,184476,149061,182239,116772,53302,98000.0,0.33399999,0.27721453,3,Poor,Non_Severely_Poor,0,0,2,1,1
526,10959,51755,94128,129811,252481,185756,134894,61816,27481,56620,121150,212575,261289,119704,42712,80069,78203,137864,375832,259582,122482,145143,32176,77518,473000.0,0.16699999999999998,2.1387925,1,Non_Poor,Non_Severely_Poor,0,0,1,0,10
527,16064,13692,43054,137238,70018,152184,254690,4260,20479,41145,108087,116037,203638,122042,77188,2584,92253,142765,284389,286294,14278,7059,73552,21010,171500.0,0.22299999,0.059089322,2,Non_Poor,Non_Severely_Poor,0,0,0,0,11
528,11992,22999,22012,84087,281017,203407,43100,22586,2034,30682,70932,130001,229464,161298,39875,26914,5897,90655,142049,239720,187039,203918,24602,27720,,0.0,5.2239208,1,Non_Poor,Non_Severely_Poor,0,0,1,0,0
